species,decimalLongitude,decimalLatitude
Juniperus_squamata,104.23,33.26
Juniperus_squamata,75.767222,33.313333
Juniperus_squamata,105.6,33.32
Juniperus_squamata,75.77,33.32
Juniperus_squamata,107.990638,33.524483
Juniperus_squamata,102.961829,33.57587
Juniperus_squamata,107.249372,33.976206
Juniperus_squamata,104.393688,34.046988
Juniperus_squamata,107.843975,34.15745
Juniperus_squamata,74.92,34.27
Juniperus_squamata,103.586389,34.465278
Juniperus_squamata,103.5,34.58
Juniperus_squamata,104.890766,34.721333
Juniperus_squamata,73.6,34.78
Juniperus_squamata,73.68,34.83
Juniperus_squamata,73.78,34.83
Juniperus_squamata,70.72,34.85
Juniperus_squamata,74.92,34.87
Juniperus_squamata,73.68,34.9
Juniperus_squamata,104.21,35.14
Juniperus_squamata,71,35.25
Juniperus_squamata,74.68,35.27
Juniperus_squamata,74.77,35.3
Juniperus_squamata,74.75,35.32
Juniperus_squamata,74.58,35.32
Juniperus_squamata,71.78,35.33
Juniperus_squamata,71.78,35.35
Juniperus_squamata,71.8,35.35
Juniperus_squamata,103.7,35.36
Juniperus_squamata,74.08,35.42
Juniperus_squamata,106.697534,35.529947
Juniperus_squamata,74.47,35.53
Juniperus_squamata,74.52,35.53
